Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
錄,록,기록할,,"記錄 - 기록 (a record,  a document)
記錄- - 기록하다 (to record, write down)
記錄- - 기록되다 (to be recorded or written down)
目錄 - 목록 (list, inventory)
錄音 - 녹음 (recording)
錄音- - 녹음하다 (to record)
",,4II,3II
鹿,록,사슴,,"馴鹿 - 순록 (reindeer)
","广, 比, 鹿",3,2
論,론,논할,,"勿論 - 물론 (naturally)
言論 - 언론 (a speech, discussion)
理論 - 이론 (theory)
理論的 - 이론적 (theoretical)
論文 - 논문 (dissertation, an academic paper, thesis)
論理 - 논리 (logic)
","一, ｜, 个, 冊, 言",4II,3II
弄,롱,희롱할,,"弄談 - 농담 (a joke)
嘲弄 - 조롱 (ridicule)
","廾, 王",3II,2
雷,뢰,우레,,"地雷 - 지뢰 (land mine)
魚雷 - 어뢰 (torpedo)
雷鳥 - 뇌조 (ptarmigan)
","田, 雨",3II,2
賴,뢰,의뢰할,,"信賴 - 신뢰 (trust (in), faith (in))
",,3II,2
料,료,헤아릴,,"無料 - 무료 (free)
資料 - 자료 (material)
料理 - 요리 (cuisine)
材料 - 재료 (ingredient)
燃料 - 연료 (fuel)
飮料 - 음료 (a beverage, a drink)
","斗, 米",5,4
了,료,마칠,,"完了 - 완료 (completion)
完了 - 완료하다 (close)
滿了 - 만료 (expiration)
","一, 亅",3,2
僚,료,벗,,"同僚 - 동료 (associate)
官僚 - 관료 (bureaucrat)
","化, 小, 日",3,2
龍,룡,용,,"恐龍 - 공룡 (dinosaur)
魚龍 - 어룡 (ichthyosaur)
龍舌蘭 - 용설란 (century plant)
","月, 立",4,3
屢,루,여러,,,,3,2
樓,루,다락,,"摩天樓 - 마천루 (skyscraper)
望樓 - 망루 (watchtower)
鐘樓 - 종루 (bell tower)
","一, ｜, 口, 女, 木",3II,2
累,루,묶을,,"連累 - 연루 (involvement)
","田, 糸",3II,2
淚,루,눈물,,,,3,2
漏,루,샐,,,"尸, 汁, 雨",3II,2
柳,류,버들,,,"卩, 木",4,3
留,류,머무를,,"停留場 - 정류장 (stop, station, bus-stop)
滯留 - 체류 (stay, sojourn)
保留 - 보류 (reserve)
保留 - 보류하다 (reserve)
抑留 - 억류 (internment)
拘留 - 구류 (detention)
","刀, 厶, 田",4II,3II
流,류,흐를,,"交流 - 교류 (alternating current)
流産流産 - 유산 (miscarriage)
流入流入 - 유입 (influx)
潮流 - 조류 (tide)
流星流星 - 유성 (meteor)
流布 - 유포 (circulation)
","亠, 厶, 川, 汁",5II,4II
類,류,무리,,"種類 - 종류 (variety)
人類 - 인류 (mankind)
分類 - 분류 (classification)
書類 - 서류 (document)
鳥類 - 조류 (birds)
衣類 - 의류 (clothing)
","大, 米, 貝, 頁",5II,4II
六,륙,여섯,,,"亠, 八",8,6II
陸,륙,뭍,,"大陸 - 대륙 (continent)
着陸 - 착륙 (landing)
陸軍 - 육군 (army)
陸地 - 육지 (land)
上陸 - 상륙 (landing)
內陸 - 내륙 (inland)
","儿, 土, 阡",5II,4II
倫,륜,인륜,,"倫理學 - 윤리학 (ethics)
","一, ｜, 亅, 化, 个, 冊",3II,2
輪,륜,바퀴,,"輪番 - 윤번 (rotation)
二輪自動車 - 이륜자동차 (a two-wheeled vehicle)
","一, ｜, 个, 冊, 車",4,3
律,률,법,,"一律 - 일률 (uniformity)
法律 - 법률 (a law, statute)
自律 - 자율 (self-control, autonomy)
旋律 - 선율 (melody)
他律 - 타율 (heteronomy)
律動 - 율동 (rhythm)
","彳, 聿",4II,3II
栗,률,밤,,,"木, 西",3II,2
率,률,헤아릴,"""거느릴 솔""로도 읽는다.","比率 - 비율 (ratio)
率直 - 솔직 (frankness)
倍率 - 배율 (magnification)
","亠, 冫, 十, 幺, 玄",3II,2
隆,륭,높을,,"隆起 - 융기 (protuberance)
隆起 - 융기하다 (rise)
","夂, 阡, 生",3II,2
陵,릉,언덕,,,"儿, 土, 夂, 阡",3II,2
里,리,마을,,"里程標 - 이정표 (milestone)
千里眼 - 천리안 (clairvoyance)
",里,7,6
理,리,다스릴,,"理想 - 이상 (ideal)
理想 - 이상적인 (ideal)
理由 - 이유 (reason)
理想化 - 이상화 (idealization)
理解 - 이해 (comprehension)
管理 - 관리 (control)
","王, 里",6II,5II
利,리,이로울,,"利点利點 - 이점 (advantage)
利用 - 이용 (utilization)
利用 - 이용하다 (utilize)
利害 - 이해 (interests)
勝利 - 승리 (win)
權利 - 권리 (right)
","刈, 禾",6II,5II
李,리,오얏,,,"子, 木",6,5
梨,리,배나무,,,"刈, 木, 禾",3,2
吏,리,벼슬아치,,"官吏 - 관리 (a government official)
","一, 丶, ノ, 口",3II,2
離,리,떠날,,"距離 - 거리 (distance)
分離 - 분리 (separation)
離婚 - 이혼 (divorce)
離婚 - 이혼하다 (divorce)
亂離 - 난리 (a war, revolt, panic, fuss)
離別 - 이별 (parting, separation)
","亠, 凵, 禹, 隹",4,3
裏,리,속,,"裏作 - 이작 (second crop)
","亠, 衣, 里","Reading error 裏, 477","Writing error 裏, 477"
履,리,밟을,,"履行 - 이행 (implementation)
履行 - 이행하다 (discharge)
履歷書 - 이력서 (curriculum vitae, a resume)
","夂, 尸, 彳, 日",3II,2
鄰,린,이웃,,,"夕, 邦, 米, 舛",,"Writing error 鄰, 479"
林,림,수풀,,"森林 - 삼림 (forest)
林業 - 임업 (forestry)
林延壽魚 - 임연수어 (mackerel)
",木,7,6
臨,림,임할,,"臨終 - 임종 (deathbed)
君臨 - 군림 (reign)
君臨 - 군림하다 (reign)
","ノ, 口, 臣, 品",3II,2
立,립,설,,"立場 - 입장 (standpoint)
獨立 - 독립 (independence)
獨立- - 독립하다 (to become independent)
設立 - 설립 (institution)
國立 - 국립 (state owned; national establishment)
樹立 - 수립하다 (ground)
",立,"Reading error 立, 482","Writing error 立, 482"
馬,마,말,,"競馬 - 경마 (horse racing)
馬術 - 마술 (horsemanship)
河馬 - 하마 (hippopotamus)
木馬 - 목마 (wooden horse)
海馬 - 해마 (sea horse)
布帳馬車 - 포장마차 (a wheeled snack bar on the street)
",馬,5,4
麻,마,삼,,"亞麻 - 아마 (flax)
麻雀 - 마작 (mahjong)
","广, 木, 麻",3II,2
磨,마,갈,,,"口, 广, 木, 石, 麻",3II,2
莫,막,없을,,"莫大 - 막대 (tremendous)
莫上莫下 - 막상막하 (evenly matched)
","大, 艾, 日",3II,2
幕,막,장막,,"字幕 - 자막 (title)
幕舍 - 막사 (camp)
幕間 - 막간 (interlude)
彈幕 - 탄막 (barrage)
","大, 巾, 艾, 日",3II,2
漠,막,넓을/사막,,,"大, 汁, 艾, 日",3II,2
萬,만,일만,,"萬 - 만 (one thousand)
萬若 - 만약 (if)
萬歲 - 만세 (everlasting, eternal; hurrah!)
萬一 - 만일 (if, suppose)
數萬 - 수만 (tens of thousands)
萬事 - 만사 (everything)
","冂, 艾, 日, 田, 禹",8,6II
晩,만,늦을,,"早晩間 - 조만간 (soon)
晩餐 - 만찬 (dinner)
","儿, 日, 免","Reading error 晩, 490","Writing error 晩, 490"
滿,만,찰,,"滿 - 만 (just, full)
滿足 - 만족 (satisfaction)
不滿 - 불만 (dissatisfaction)
未滿 - 미만 (under, below; less than)
滿點 - 만점 (perfect score)
滿了 - 만료 (expiration)
","一, 人, 入, 冂, 凵, 汁",4II,3II
漫,만,질펀할,,"漫畵 - 만화 (cartoons)
漫畵家 - 만화가 (cartoonist)
","又, 汁, 日, 買",3,2
慢,만,게으를/거만할,,"傲慢 - 오만 (insolence)
自慢 - 자만 (pride)
怠慢 - 태만 (negligence)
","又, 忙, 日, 買",3,2
末,말,끝,,"末 - 말 (end)
週末 - 주말 (weekend)
結末 - 결말 (conclusion)
年末 - 연말 (the end, close of the year)
末期 - 말기 (the end, final period)
","一, ｜, 亠, 八, 木",5,4
亡,망,망할,,"死亡 - 사망 (death)
死亡 - 사망하다 (decease)
逃亡 - 도망 (escape)
滅亡 - 멸망 (ruin)
亡- - 망하다 (go to ruin)
亡命 - 망명 (exile)
","亠, 亡",5,4
忙,망,바쁠,,,"亠, 忙, 亡",3,2
忘,망,잊을,,"忘恩 - 망은 (ingratitude)
","亠, 亡, 心",3,2
望,망,바랄,,"希望 - 희망 (hope)
希望 - 희망하다 (hope)
失望 - 실망 (disappointment)
慾望欲望 - 욕망 (appetite)
絶望 - 절망 (despair)
絶望的 - 절망적인 (desperate)
","亡, 月, 王",5II,4II
茫,망,아득할,,,"汁, 艾, 亡",3,2
妄,망,망령될,,"迷妄 - 미망 (illusion)
","亠, 女, 亡",3II,2
罔,망,그물,,,"一, 亠, 八, 冂, 亡",3,2
每,매,매양,,"每日 - 매일 (every day)
每年 - 매년 (every year)
每週 - 매주 (every week)
每番 - 매번 (every time)
每- - 매달 (every month)
",,7II,6
買,매,살,,"賣買 - 매매 (trade)
賣買 - 매매하다 (trade)
買收 - 매수 (corruption)
買收 - 매수하다 (buy)
豫買- - 예매하다 (reservation, advance purchase)
購買者 - 구매자 (purchaser)
","買, 貝",5,4
賣,매,팔,,"販賣 - 판매 (sale)
賣場 - 매장 (a store, shop)
賣買 - 매매 (trade)
賣買 - 매매하다 (trade)
賣却 - 매각 (sale)
小賣 - 소매 (retail)
","士, 買, 貝",5,4
妹,매,누이,,"姉妹 - 자매 (sister)
男妹 - 남매 (brother and sister)
","｜, 二, 亠, 八, 女, 木","Reading error 妹, 505","Writing error 妹, 505"
梅,매,매화,,"梅毒 - 매독 (syphilis)
","木, 母",3II,2
埋,매,묻을,,"埋葬 - 매장 (burial)
","土, 里",3,2
媒,매,중매,,"媒體 - 매체 (a medium, medias)
媒介 - 매개 (intermediary)
觸媒 - 촉매 (catalyst)
溶媒 - 용매 (solvent)
媒質 - 매질 (medium)
","女, 木, 甘",3II,2
麥,맥,보리,,"麥酒 - 맥주 (beer)
麥芽 - 맥아 (malt)
生麥酒 - 생맥주 (draft beer)
","夂, 麦",3II,2
脈,맥,줄기,,"脈絡 - 맥락 (context)
山脈 - 산맥 (mountain range)
動脈 - 동맥 (artery)
靜脈 - 정맥 (vein)
文脈 - 문맥 (context)
大動脈 - 대동맥 (aorta)
","厂, 斤, 月",4II,3II
孟,맹,맏,,,"子, 皿","Reading error 孟, 511","Writing error 孟, 511"
猛,맹,사나울,,"猛攻擊 - 맹공격 (fierce attack)
","子, 犯, 皿",3II,2
盟,맹,맹세,,"同盟 - 동맹 (league)
聯盟 - 연맹 (league)
盟約 - 맹약 (covenant)
","日, 月, 皿",3II,2
盲,맹,눈멀,,"文盲 - 문맹 (illiteracy)
盲点盲點 - 맹점 (blind spot)
","亠, 亡, 目",3II,2
免,면,면할,,"免- - 면하다 (escape, avoid, get away with)
免許 - 면허 (permit)
免許 - 면허하다 (license)
放免 - 방면 (release)
免除 - 면제하다 (release)
","一, ｜, 儿, 勹, 口, 免",3II,2
勉,면,힘쓸,,"勤勉 - 근면 (industry)
","儿, 力, 免",4,3
面,면,낯,,"面 - 면 (subdivision of a county)
場面 - 장면 (scene)
畵面 - 화면 (screen)
反面 - 반면 (one side)
側面 - 측면 (flank)
表面 - 표면 (face)
",面,7,6
眠,면,잘,,"睡眠 - 수면 (sleep, slumber)
冬眠 - 동면 (winter sleep)
永眠 - 영면하다 (rest)
","口, 氏, 目",3II,2
綿,면,솜,,"綿 - 면 (cotton)
石綿 - 석면 (asbestos)
綿製品 - 면제품 (cotton goods)
綿火藥 - 면화약 (guncotton)
採綿器 - 채면기 (cotton picker)
海綿 - 해면 (sponge)
","巾, 白, 糸","Reading error 綿, 519","Writing error 綿, 519"
滅,멸,꺼질,,"滅亡 - 멸망 (ruin)
消滅 - 소멸하다 (lapse)
破滅 - 파멸 (ruin)
破滅 - 파멸하다 (ruin)
全滅 - 전멸 (annihilation)
死滅 - 사멸 (extinction)
","ノ, 汁, 戈, 火",3II,2
名,명,이름,,"名 - 명 (person counter)
有名 - 유명 (famous, well-known, renowned)
有名- - 유명하다 (to be famous)
名譽 - 명예 (honor)
署名 - 서명 (signature)
名單 - 명단 (list of names, roll, directory)
","口, 夕",7II,6
命,명,목숨,,"天命 - 천명 (destiny)
生命 - 생명 (life)
命令 - 명령 (order)
命令 - 명령하다 (require)
運命 - 운명 (fate)
任命 - 임명 (designation)
","一, 个, 卩, 口",7,6
明,명,밝을,,"說明 - 설명 (explanation)
說明- - 설명하다 (to explain)
說明- - 설명되다 (to be explained)
分明 - 분명 (obviousness)
分明- - 분명하다 (to be clear/obvious)
分明- - 분명해지다 (to become clear)
","日, 月",6II,5II
鳴,명,울,,"悲鳴 - 비명 (a scream)
共鳴 - 공명 (resonance)
鳴禽 - 명금 (songbird)
","口, 杰, 鳥",4,3
銘,명,새길,,"碑銘 - 비명 (inscription)
","口, 夕, 金",3II,2
冥,명,어두울,,"冥王星 - 명왕성 (Pluto)
","亠, 八, 冖, 日",3,2
母,모,어미,,"父母 - 부모 (parents)
父母- - 부모님 (parents)
姨母 - 이모 (a maternal aunt)
學父母 - 학부모 (students' parents)
姑母 - 고모 (a paternal aunt)
母艦 - 모함 (mother ship)
",母,8,6II
毛,모,털,,"陰毛 - 음모 (pubes)
毛皮 - 모피 (fur)
剛毛 - 강모 (bristle)
根毛 - 근모 (root hair)
多毛作 - 다모작 (multiple cropping)
毛蟲 - 모충 (caterpillar)
",毛,4II,3II
暮,모,저물,,,"大, 艾, 日",3,2
某,모,아무개,,"某 - 모 (so-and-so, a certain Mr. X (used to not directly identify sby))
","木, 甘",3,2
謀,모,꾀,,"陰謀 - 음모 (conspiracy)
共謀 - 공모 (complicity)
謀議 - 모의 (conspiracy)
參謀 - 참모 (staff officer)
共謀者 - 공모자 (conspirator)
謀叛 - 모반 (rebellion)
","木, 甘, 言",3II,2
模,모,본뜰,,"規模 - 규모 (scale)
模樣 - 모양 (figure)
大規模 - 대규모 (on  a large scale)
模型 - 모형 (model)
小規模 - 소규모 (small scale)
模範 - 모범 (model)
","大, 艾, 日, 木",4,3
貌,모,모양,,"外貌 - 외모 (outward appearance)
變貌 - 변모 (transfiguration)
容貌 - 용모 (look)
外貌至上主義 - 외모지상주의 (judging someone by their appearance)
","儿, 白, 豸",3II,2
募,모,모을,,"募集 - 모집 (collection)
募集- - 모집하다 (call/appeal for)
應募 - 응모 (subscription)
應募者 - 응모자 (applicant)
徵募 - 징모 (enlistment)
","力, 大, 艾, 日",3,2
慕,모,그릴,,"追慕 - 추모 (the memory of a deceased person)
愛慕 - 애모 (adoration)
","大, 艾, 心, 日",3II,2
侮,모,업신여길,,"侮辱 - 모욕 (insult)
侮辱 - 모욕하다 (insult)
侮蔑 - 모멸 (contempt)
","化, 母",3,2
冒,모,무릅쓸,,"冒險 - 모험 (risk)
冒險 - 모험하다 (risk)
冒險者 - 모험자 (venturer)
","日, 目",3,2
木,목,나무,,"木曜日 - 목요일 (Thursday)
灌木 - 관목 (shrub)
木蓮 - 목련 (magnolia)
木馬 - 목마 (wooden horse)
木星 - 목성 (Jupiter)
材木 - 재목 (timber)
",木,8,6II
目,목,눈,,"目的 - 목적 (purpose)
目標 - 목표 (target)
題目 - 제목 (heading)
注目 - 주목 (observation)
注目 - 주목하다 (remark)
項目 - 항목 (item)
",目,6,5
牧,목,칠,,"牧師 - 목사 (a pastor)
牧童 - 목동 (cowboy)
牧者 - 목자 (herdsman)
放牧 - 방목 (grazing)
放牧 - 방목하다 (pasture)
牧歌的 - 목가적인 (idyllic)
","攵, 牛",4II,3II
睦,목,화목할,,,"儿, 土, 目",3II,2
沒,몰,빠질/없을,,"沒落 - 몰락 (ruin)
日沒 - 일몰 (sunset)
陷沒 - 함몰 (subsidence)
沒食子 - 몰식자 (gallnut)
","力, 又, 汁",3II,2
夢,몽,꿈,,"惡夢 - 악몽 (nightmare)
吉夢 - 길몽 (a lucky dream)
夢想 - 몽상 (reverie)
夢遊病 - 몽유병 (somnambulism)
夢遊病者 - 몽유병자 (sleepwalker)
夢精 - 몽정 (wet dream)
","冖, 夕, 艾, 買",3II,2
蒙,몽,입을,,"啓蒙 - 계몽 (enlightenment)
","冖, 艾, 豕",3II,2
卯,묘,토끼,,,卩,3,2
妙,묘,묘할,,,"ノ, 女, 小",4,3
苗,묘,모,,"苗木 - 묘목 (seedling)
苗床 - 묘상 (seedbed)
","艾, 田","Reading error 苗, 547","Writing error 苗, 547"
廟,묘,사당,,,"十, 广, 日, 月",3,2
墓,묘,무덤,,"墓地 - 묘지 (graveyard)
共同墓地 - 공동묘지 (public graveyard)
墓石 - 묘석 (tombstone)
","土, 大, 艾, 日",4,3
戊,무,"다섯째, 천간",,,"ノ, 戈",3,2
茂,무,우거질,,,"ノ, 艾, 戈",3II,2
武,무,굳셀,,"武器 - 무기 (weapon)
武力 - 무력 (sword)
武術 - 무술 (martial art)
武道 - 무도 (martial art)
再武裝 - 재무장 (rearmament)
玄武岩 - 현무암 (basalt)
","弋, 止",4II,3II
務,무,힘쓸,,"業務 - 업무 (buisness, duty)
勤務 - 근무 (service)
公務員 - 공무원 (public servant)
任務 - 임무 (office)
事務室 - 사무실 (office)
義務 - 의무 (responsibility)
","力, 夂, 矛",4II,3II
無,무,없을,,"無 - 무 (nothing; lacking)
無料 - 무료 (free)
無意味- - 무의미하다 (meaningless, nonsensical)
無關心 - 무관심 (apathy, indifference)
無關心- - 무관심하다 (be indifferent to)
無能力 - 무능력 (incompetence)
","一, ｜, ノ, 杰, 無",5,4
舞,무,춤출,,"舞臺 - 무대 (stage)
鼓舞 - 고무 (inspiration)
舞踊 - 무용 (dancing, a dance)
舞蹈 - 무도 (dancing)
劍舞 - 검무 (sword dance)
舞踊家 - 무용가 (dancer)
","一, ｜, ノ, 二, 夕, 舛, 無",4,3
貿,무,무역할,,"貿易 - 무역 (trade)
","刀, 厶, 貝",3II,2
霧,무,안개,,"霧氷 - 무빙 (rime)
噴霧器 - 분무기 (sprayer)
","力, 夂, 矛, 雨",3,2
墨,묵,먹,,"石墨 - 석묵 (graphite)
","土, 杰, 里, 黒",3II,2
默,묵,잠잠할,,"沈默 - 침묵 (silence)
默認 - 묵인 (toleration)
默殺 - 묵살하다 (smother)
默示 - 묵시 (apocalypse)
默想 - 묵상 (meditation)
","杰, 犬, 里, 黒",3II,2
門,문,문,,"門 - 문 (door)
專門 - 전문 (speciality)
專門的 - 전문적 (specialized)
房門 - 방문 (door)
部門 - 부문 (category)
專門家 - 전문가 (a specialist)
",門,8,6II
問,문,물을,,"問題 - 문제 (problem)
質問 - 질문 (inquiry)
質問 - 질문하다 (question)
訪問 - 방문하다 (visit)
質問者 - 질문자 (interrogator)
顧問 - 고문 (adviser)
","口, 門",7,6
聞,문,들을,,"新聞 - 신문 (a newspaper)
所聞 - 소문 (a rumor)
新聞社 - 신문사 (newspaper company)
醜聞 - 추문 (scandal)
見聞 - 견문 (information)
壁新聞 - 벽신문 (wall newspaper)
","耳, 門",6II,5II
文,문,글월,,"文化 - 문화 (culture)
文化的 - 문화적인 (cultural)
文字 - 문자 (character)
呪文 - 주문 (spell)
注文 - 주문하다 (order)
文書 - 문서 (writing)
",文,7,6
勿,물,말,,"勿論 - 물론 (naturally)
","ノ, 勹, 勿",3II,2
物,물,물건,,"膳物 - 선물 (a present, gift)
膳物- - 선물하다 (give a gift)
動物 - 동물 (animal)
建物 - 건물 (building)
物質 - 물질 (substance, wealth)
人物 - 인물 (character, personality)
","勹, 牛, 勿",7II,6
米,미,쌀,,"中米 - 중미 (Central America)
",米,6,5
未,미,아닐,,"未安- - 미안하다 (to be sorry)
未來 - 미래 (future)
未滿 - 미만 (under, below; less than)
未熟 - 미숙 (inexperience)
未婚 - 미혼 (unmarried)
未亡人 - 미망인 (widow)
","｜, 二, 亠, 八, 木",4II,3II
味,미,맛,,"意味 - 의미 (significance)
無意味- - 무의미하다 (meaningless, nonsensical)
興味 - 흥미 (interest, zeal)
興味- - 흥미롭다 (to be interesting, amusing)
趣味 - 취미 (taste)
調味 - 조미 (seasoning)
","｜, 二, 亠, 八, 口, 木",4II,3II
美,미,아름다울,,"美國 - 미국 (United States of America)
美 - 미 (beauty, grace)
美術 - 미술 (fine art)
美術的 - 미술적인 (artistic)
美術館 - 미술관 (art gallery)
美人 - 미인 (a beautiful girl)
","八, 大, 王, 羊",6,5
尾,미,꼬리,,"後尾 - 후미 (rear)
尾行 - 미행하다 (tail)
尾行 - 미행자 (shadow)
","尸, 毛",3II,2
迷,미,미혹할,,"迷路 - 미로 (maze)
迷信 - 미신 (superstition)
迷宮 - 미궁 (labyrinth)
昏迷 - 혼미 (confusion)
迷妄 - 미망 (illusion)
迷彩 - 미채 (camouflage)
","込, 米",3,2
微,미,작을,,"微笑 - 미소 (smile)
微生物 - 미생물 (microbe)
微塵 - 미진 (atom)
微賤 - 미천 (obscurity)
微粒子 - 미립자 (corpuscle)
衰微 - 쇠미 (decadence)
","山, 彳, 攵",3II,2
眉,미,눈썹,,,"｜, 尸, 目",3,2
民,민,백성,,"國民 - 국민 (people)
國民的 - 국민적 (national)
市民 - 시민 (citizen)
住民 - 주민 (population)
民主 - 민주 (democracy)
民主的 - 민주적인 (democratic)
","口, 氏",8,6II
敏,민,재빠를,,"敏活 - 민활 (alacrity)
","攵, 母",3,2
憫,민,민망할,,,"忙, 文, 門","Reading error 憫, 576","Writing error 憫, 576"
密,밀,빽빽할,,"秘密 - 비밀 (secrecy)
密度 - 밀도 (density)
密接- - 밀접하다 (be close, intimate with)
親密 - 친밀 (intimacy)
密告者 - 밀고자 (squealer)
密通 - 밀통 (intrigue)
","丶, ノ, 宀, 山, 心",4II,3II
蜜,밀,꿀,,"糖蜜 - 당밀 (molasses)
","丶, ノ, 宀, 心, 虫",3,2
朴,박,성/순박할,,"素朴 - 소박 (simplicity)
","卜, 木",6,5
泊,박,머무를,,"泊 - 박 (number of nights (counter))
宿泊 - 숙박 (lodging)
外泊 - 외박 (staying out overnight)
","汁, 白",3,2
拍,박,칠,,"拍手 - 박수 (applause)
拍子 - 박자 (time)
拍車 - 박차 (spur)
脈拍 - 맥박 (pulse)
","扎, 白",4,3
