Hanja,Pronunciation,Meaning_K,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level,Strokes,Meaning_E
佐,좌,도울,,,"一, ノ, 化, 工",3,2,7,"assist,  aid,  second;  subordinate "
座,좌,자리,,"計座 - 계좌 (account)
","｜, 入, 土, 广",4,3,10,"seat;  stand,  base "
罪,죄,허물,,"罪悚- - 죄송하다 (regret, be sorry for)
","買, 非",5,4,13,"crime,  sin,  vice;  evil;  hardship "
主,주,주인,,"主 - 주 (one's master, ones employer)
","丶, 王",7,6,5,"master,  chief  owner;  host;  lord "
注,주,물댈,,"注文 - 주문하다 (order)
","丶, 汁, 王",6II,5II,8,"concentrate,  focus,  direct "
住,주,살,,"住所 - 주소 (residence)
","丶, 化, 王",7,6,7,"reside,  live  at,  dwell,  lodge;  stop "
朱,주,붉을,,,"｜, ノ, 二, 八, 木, 牛",4,3,6,"cinnabar,  vermilion;  surname "
宙,주,집,,"宇宙 - 우주 (universe)
","｜, 宀, 日, 田",3II,2,8,time  as  concept;  infinite  time 
走,주,달릴,,"走狗 - 주구 (running dog)
","土, 走",4II,3II,7,"walk,  go  on  foot;  run;  leave "
酒,주,술,,"麥酒 - 맥주 (beer)
","汁, 酉",4,3,10,"wine,  spirits,  liquor,  alcoholic  beverage "
晝,주,낮,,"晝間 - 주간 (daytime)
","一, 日, 聿",6,5,11,"daytime,  daylight "
舟,주,배,,"方舟 - 방주 (ark)
",舟,3,2,6,"boat,  ship;  angX i  radical "
周,주,두루,,"周邊 - 주변 (outskirts)
","冂, 口, 土",4,3,8,hou  dynasty;  circumference 
株,주,그루,,"株式 - 주식 (stock)
","木, 牛",3II,2,10,numerary  adjunct  for  trees;  root 
州,주,고을,,"光州 - 광주 (region surrounding Seoul)
","｜, 丶, 川",5II,4II,6,"administrative  division,  state "
洲,주,물가,,"濠洲 - 호주 (Australia)
","｜, 丶, 川, 汁",3II,2,9,continent;  island;  islet 
柱,주,기둥,,"圓柱 - 원주 (cylinder)
","丶, 木, 王",3II,2,9,"pillar,  post;  support;  lean  on "
奏,주,아뢸,,"演奏 - 연주 (musical performance, recital)
","一, ｜, ノ, 二, 大, 禾",3II,2,9,memorialize  emperor;  report 
珠,주,구슬,,,"｜, ノ, 二, 八, 木, 牛, 王",3II,2,10,"precious  stone,  gem,  jewel,  pearl "
鑄,주,불릴,,"鑄造 - 주조 (casting)
","口, 士, 寸, 工, 金",3II,2,22,"melt,  cast;  coin,  mint "
竹,죽,대,,"爆竹 - 폭죽 (firecracker)
",竹,4II,3II,6,bamboo;  flute;  angX i  radical 
準,준,준할,,"準備 - 준비 (provision)
","十, 汁, 隹",4II,3II,13,"rule,  guideline,  standard "
俊,준,준걸,,,"化, 儿, 厶, 夂",3,2,9,"talented,  capable;  handsome "
遵,준,좇을,,"遵守 - 준수 (observance)
","八, 込, 寸, 酉",3,2,15,"obey,  comply  with,  follow;  honor "
中,중,가운데,,"中 - 중 (the center, the middle)
","｜, 口",8,6II,4,"central;  center,  middle;  in  the  midst  of;  hit  target) attain "
重,중,무거울,,"重要 - 중요 (important, crucial, significant)
","一, ｜, ノ, 日, 里",7,6,9,"heavy,  weighty;  double "
衆,중,무리,,"大衆 - 대중 (the masses)
","皿, 血",4II,3II,12,"multitude,  crowd;  masses,  public "
仲,중,버금,,"仲裁 - 중재 (mediation)
","｜, 化, 口",3II,2,6,"middle  brother;  go  between,  mediator;  surname "
卽,즉,곧,,"卽 - 즉 (namely, that is to say)
",,3II,2,9,promptly 
曾,증,일찍,,,"八, 日",3II,2,12,already;  sign  of  past 
增,증,더할,,"增加 - 증가 (an increase, augmentation)
",,4II,3II,15,"increase,  add  to,  augment "
證,증,증거,,"證據 - 증거 (proof)
","八, 口, 癶, 言, 豆",4,3,19,"proof,  evidence;  testify,  verify "
憎,증,미울,,"憎惡 - 증오 (hatred)
","八, 忙, 日, 田",3II,2,15,"hate,  detest,  abhor;  hatred "
贈,증,줄,,"贈呈 - 증정 (presentation)
","八, 日, 田, 貝",3,2,19,"give  present;  bestow,  confer "
症,증,증세,,"症狀 - 증상 (symptoms)
","一, 止, 疔",3II,2,10,"disease,  illness,  ailment "
蒸,증,찔,,,"一, ノ, 亅, マ, 艾, 杰",3II,2,13,steam;  evaporate 
只,지,다만,,"只今 - 지금 (now)
","八, 口",3,2,5,"only,  just,  simply "
支,지,지탱할,,"支援 - 지원 (backing)
","十, 又, 支",4II,3II,4,"disperse,  pay;  support;  branch "
枝,지,가지,,,"十, 又, 支, 木",3II,2,8,"branches,  limbs;  branch  off "
止,지,그칠,,"禁止 - 금지 (prohibition)
",止,5,4,4,"stop,  halt,  desist;  detain "
之,지,갈,,,"丶, 乙, 亠, 廴",3II,2,3,"s  marks  preceding  phrase  as  modifier  of  following  phrase) it,  him  her,  them;  go  to "
知,지,알,,"認知 - 인지 (recognition)
","口, 矢",5II,4II,8,"know,  perceive,  comprehend "
地,지,땅,,"地域 - 지역 (region)
","土, 也",7,6,6,"earth;  soil,  ground;  region "
指,지,손가락,,"指導 - 지도 (guidance)
","匕, 扎, 日",4II,3II,9,"finger,  toe;  point,  indicate "
志,지,뜻,,"有志 - 유지 (volunteer)
","士, 心",4II,3II,7,"purpose,  will,  determination "
至,지,이를,,"乃至 - 내지 (from a to b)
","一, 厶, 土, 至",4II,3II,6,"reach,  arrive;  extremely,  very "
紙,지,종이,,"便紙 - 편지 (letter)
","氏, 糸",7,6,10,paper 
持,지,가질,,"維持 - 유지 (maintenance)
","土, 寸, 扎",4,3,9,"sustain,  support;  hold,  grasp "
池,지,못,,"電池 - 전지 (battery)
","汁, 也",3II,2,6,"pool,  pond;  moat;  cistern "
誌,지,기록할,,"地誌 - 지지 (topography)
","士, 心, 言",4,3,14,write  down;  record;  magazine 
智,지,슬기,,"智慧 - 지혜 (wisdom)
","口, 日, 矢",4,3,12,"wisdom,  knowledge,  intelligence "
遲,지,더딜/늦을,,"遲延 - 지연 (delay)
","込, 尸, 水, 牛",3,2,15,"late,  tardy;  slow;  delay "
直,직,곧을,,"直接 - 직접 (directly)
","一, ｜, 十, 目",7II,6,8,"straight,  erect,  vertical "
職,직,벼슬,,"職員 - 직원 (staff)
","戈, 日, 立, 耳, 音",4II,3II,18,"duty,  profession;  office,  post "
織,직,짤,,"組織 - 조직 (group, organization)
","戈, 日, 立, 糸, 音",4,3,18,"weave,  knit;  organize,  unite "
辰,진,별,,,"厂, 衣, 辰",3II,2,7,early  morning;  th  terrestrial  branch 
眞,진,참,,"眞- - 진짜 (real)
","八, 匕, 目",4II,3II,10,"real,  actual,  true,  genuine "
進,진,나아갈,,"進行 - 진행 (progress, advance)
","込, 隹",4II,3II,11,"advance,  make  progress,  enter "
盡,진,다할,,,"ヨ, 皿, 聿",4,3,14,"exhaust,  use  up;  deplete "
振,진,떨칠,,"振動 - 진동 (vibration)
","厂, 扎, 衣, 辰",3II,2,10,"raise,  excite,  arouse  action "
鎭,진,진압할,,"鎭靜 - 진정 (pacification)
","一, ｜, 八, 匕, 目, 金",3II,2,18,"town,  market  place;  suppress "
陳,진,베풀,,"陳情 - 진정 (petition)
","一, ｜, 阡, 日, 木, 田",3II,2,10,"exhibit,  display;  plead;  surname "
陣,진,진칠,,"陣地 - 진지 (encampment)
","阡, 車",4,3,9,"column,  row  or  file  of  troops "
珍,진,보배,,"珍貴 - 진귀하다 (to be rare)
","个, 彡, 王",4,3,9,"precious,  valuable,  rare "
震,진,우레,,"地震 - 지진 (earthquake)
","厂, 衣, 辰, 雨",3II,2,15,"shake,  quake,  tremor;  excite "
質,질,바탕,,"質 - 질 (quality, character)
","斤, 貝",5II,4II,15,"matter,  material,  substance "
秩,질,차례,,"秩序 - 질서 (regularity)
","ノ, 人, 土, 大, 禾",3II,2,10,order;  orderly;  salary;  decade 
疾,질,병,,"疾病 - 질병 (a disease, sickness)
","疔, 矢",3II,2,10,"illness,  disease,  sickness;  to  hate "
姪,질,조카,,,"厶, 土, 女, 至",3,2,9,niece 
集,집,모을,,"集成 - 집성 (aggregation)
","木, 隹",6II,5II,12,"assemble,  collect  together "
執,집,잡을,,"執行 - 집행 (enforcement)
","丶, ノ, 亠, 十, 九, 土, 立, 辛",3II,2,11,hold  in  hand;  keep;  carry  out 
徵,징,부를,,"特徵 - 특징 (feature)
",,3II,2,15,"summon,  recruit;  musical  note "
懲,징,징계할,,"懲役 - 징역 (penal servitude)
","山, 彳, 心, 攵, 王",3,2,19,"punish,  reprimand;  warn "
且,차,또,,,"一, 目",3,2,5,"moreover,  also  post- subject) about  to,  will  soon  pre- verb) "
次,차,버금,,"次 - 차 (order, sequence, degree)
","冫, 欠",4II,3II,6,"order,  sequence;  next "
此,차,이,,,"匕, 止",3II,2,6,"this,  these;  in  this  case,  then "
借,차,빌,,"轉借 - 전차 (subtenancy)
","化, 日",3II,2,10,borrow;  lend;  make  pretext  of 
差,차,다를,,"差 - 차 (difference, margin)
","ノ, 八, 工, 王, 羊",4,3,9,"to  differ;  different,  wrong;  nearly,  almost;  an  officer "
着,착,붙을,,"到着 - 도착 (arrival)
","ノ, 八, 王, 目, 羊",5II,4II,,"make  move,  take  action "
錯,착,어긋날,,"倒錯 - 도착 (perversion)
","｜, 日, 金",3II,2,16,"error,  blunder,  mistake,  wrong "
捉,착,잡을,,,"口, 扎, 足",3,2,10,"grasp,  clutch;  catch,  seize "
贊,찬,도울,,"贊成 - 찬성 (approval)
","ノ, 儿, 土, 貝",3II,2,19,"help,  support,  assist,  aid "
讚,찬,기릴,,"稱讚 - 칭찬 (praide, admiration)
","ノ, 儿, 土, 言, 貝",4,3,26,"praise,  commend,  eulogize "
察,찰,살필,,"警察 - 경찰 (police)
","ノ, 宀, 癶, 示",4II,3II,14,"examine,  investigate;  notice "
參,참,참여할,,"參與 - 참여 (participation)
","个, 厶, 彡",5II,4II,11,"take  part  in,  intervene;  ginseng "
慘,참,참혹할,,"慘事 - 참사 (disaster)
","个, 厶, 彡, 忙",3,2,14,"sad,  pitiful,  wretched;  cruel "
慙,참,부끄러울,,,"心, 斤, 車",3,2,15,"ashamed,  humiliated;  shameful "
昌,창,창성할,,"繁昌 - 번창 (prosperity, flourish, success)
",日,3II,2,8,"light  of  sun;  good,  proper "
唱,창,노래,,"合唱 - 합창 (chorus)
","口, 日",5,4,11,"sing,  chant,  call;  ditty,  song "
窓,창,창,,"窓 - 창 (window)
","儿, 厶, 宀, 心, 穴",6II,5II,11,window 
倉,창,곳집,,"倉庫 - 창고 (warehouse)
","ノ, 个, 口",3II,2,10,granary;  berth;  sea 
創,창,비롯할,,"創造 - 창조 (creation)
","个, 刈, 口",4II,3II,12,"establish,  create;  knife  cut "
蒼,창,푸를,,,"ノ, 个, 口, 艾",3II,2,13,blue;  green 
暢,창,화창할,,,"一, ｜, 日, 勿, 田",3,2,14,"smoothly,  freely,  unrestrained "
菜,채,나물,,"菜蔬 - 채소 (vegetables)
","艾, 木, 爪",3II,2,11,"vegetables;  dish,  order;  food "
採,채,캘,,"採用 - 채용하다 (take)
","扎, 木, 爪",4,3,11,"gather,  collect;  pick,  select "
彩,채,무늬,,"色彩 - 색채 (hue)
","彡, 木, 爪",3II,2,11,"hue,  color;  variegated  colors "
債,채,빚,,"負債 - 부채 (debt)
","亠, 化, 土, 貝",3II,2,13,"debt,  loan,  liabilities "
責,책,꾸짖을,,"責任 - 책임 (responsibility)
","亠, 土, 貝",5II,4II,11,"one' s  responsibility,  duty "
冊,책,책,,"冊 - 책 (a book)
","一, ｜, 亅, 冂, 廾",4,3,5,"book,  volume "
策,책,꾀,,"政策 - 정책 (policy)
","｜, 亅, 八, 冂, 巾, 木, 竹",3II,2,12,"scheme,  plan;  to  whip;  urge "
妻,처,아내,,"賢母良妻 - 현모양처 (a good mother and a good wife)
","一, ｜, 女, ヨ",3II,2,8,wife 
處,처,곳,,"處理 - 처리 (treatment)
","几, 匕, 卜, 厂, 夂, 虍",4II,3II,11,"place,  locale;  department "
尺,척,자,,"尺度 - 척도 (scale)
","丶, 尸",3II,2,4,hinese  measure  approx.  foot' 
斥,척,물리칠,,"排斥 - 배척하다 (boycott)
","丶, 斤",3,2,5,"to  scold,  upbraid,  accuse,  reproach "
拓,척,열/넓힐,,"開拓 - 개척하다 (pioneer)
","口, 扎, 石",3II,2,8,expand;  open  up;  support  or  push 
戚,척,친척,,"親戚 - 친척 (relative)
","ノ, 卜, 小, 戈",3II,2,11,relative;  be  related  to;  sad 
千,천,일천,,"千 - 천 (thousand)
","ノ, 十",7,6,3,"thousand;  many,  numerous;  very;  ant. a  cheater,  swindler "
天,천,하늘,,"天蓋 - 천개 (canopy)
","一, 大",7,6,4,"sky,  heaven;  god,  celestial "
川,천,내,,"仁川 - 인천 (Incheon city)
",川,7,6,3,"stream,  river;  flow;  boil "
泉,천,샘,,"溫泉 - 온천 (hot spring)
","水, 白",4,3,9,"spring,  fountain;  wealth,  money "
淺,천,얕을,,"淺薄 - 천박 (superficiality)
","汁, 戈",3II,2,11,"shallow,  not  deep;  superficial "
賤,천,천할,,"微賤 - 미천 (obscurity)
","戈, 貝",3II,2,15,"mean,  low;  cheap,  worthless "
踐,천,밟을,,"實踐 - 실천 (practice)
","口, 戈, 足",3II,2,15,"trample,  tread  upon,  walk  on "
遷,천,옮길,,"變遷 - 변천 (vicissitude)
","込, 大, 已, 西",3II,2,15,"move,  shift,  change;  transfer "
薦,천,천거할,,"推薦 - 추천 (recommendation)
","广, 艾, 杰",3,2,16,"offer,  present;  recommend "
鐵,철,쇠,,"地下鐵 - 지하철 (subway)
","口, 土, 戈, 王, 金",5,4,21,"iron;  strong,  solid,  firm "
哲,철,밝을,,"哲學 - 철학 (philosophy)
","口, 扎, 斤",3II,2,10,"wise,  sagacious;  wise  man,  sage "
徹,철,뚫을,,"徹底- - 철저하다 (thoroughness, cleanliness)
","亠, 厶, 彳, 攵, 月",3II,2,15,"penetrate,  pervade;  penetrating "
尖,첨,뾰족할,,,"大, 小",3,2,6,"sharp,  pointed,  acute,  keen "
添,첨,더할,,"添削 - 첨삭 (correction)
","ノ, 大, 汁, 心",3,2,11,"append,  add  to;  increase "
妾,첩,첩,,,"女, 立",3,2,8,concubine 
靑,청,푸를,,"靑少年 - 청소년 (young boys and girls, teenagers)
",,8,6II,8,blue 
淸,청,맑을,,"淸掃 - 청소 (cleaning)
",,6II,5II,11,clear 
晴,청,갤,,"晴雨計 - 청우계 (barometer)
","二, 亠, 土, 日, 月, 青",3,2,12,"clear  weather,  fine  weather "
請,청,청할,,"申請 - 신청 (application)
","二, 亠, 土, 月, 言, 青",4II,3II,15,"ask,  request;  invite;  please "
聽,청,들을,,"視聽率 - 시청률 (ratings)
","十, 心, 王, 買, 耳",4,3,22,"hear,  listen;  understand;  obey "
廳,청,관청,,"市廳 - 시청 (city hall)
","一, 十, 广, 心, 王, 買, 耳",4,3,25,"hall,  central  room "
體,체,몸,,"團體 - 단체 (organization)
","｜, 八, 冂, 冖, 口, 日, 月, 豆, 骨",6II,5II,22,"body;  group,  class,  body,  unit "
替,체,바꿀,,"代替 - 대체하다 (substitute)
","二, 亠, 人, 大, 日",3,2,12,"change,  replace,  substitute  for "
滯,체,막힐,,"停滯 - 정체 (congestion)
","一, 儿, 冖, 凵, 巾, 汁",3II,2,14,"block  up,  obstruct;  stagnant "
逮,체,잡을,,"逮捕 - 체포 (arrest)
","込, ヨ, 水, 隶",3,2,11,"seize,  catch;  reach,  arrive "
遞,체,갈릴,,"郵遞局 - 우체국 (a post office)
","儿, 匕, 卜, 厂, 込, 虍",3,2,13,"hand  over,  deliver;  substitute "
初,초,처음,,"初 - 초 (beginning (of), early, initial)
","刀, 初",5,4,7,"beginning,  initial,  primary "
草,초,풀,,"草綠色 - 초록색 (green)
","十, 艾, 日",7,6,9,"grass,  straw,  thatch,  herbs "
招,초,부를,,"招待 - 초대 (an invitation)
","刀, 口, 扎",4,3,8,"beckon,  summon;  recruit,  levy "
肖,초,닮을,,"肖像畵 - 초상화 (a portrait, a picture)
","尚, 月",3II,2,7,"look  like,  resemble,  be  like "
超,초,넘을,,"超過 - 초과 (excess)
","刀, 口, 土, 走",3II,2,12,"jump  over,  leap  over;  surpass "
抄,초,베낄,,,"ノ, 小, 扎",3,2,7,"copy,  confiscate,  seize "
礎,초,주춧돌,,"基礎 - 기초 (foundation)
","口, 木, 疋, 石",3II,2,18,"foundation  stone,  plinth "
秒,초,초,,"秒 - 초 (a second)
","ノ, 小, 禾",3,2,9,beard  of  grain  or  corn;  a  second 
促,촉,재촉할,,"促進 - 촉진 (promotion)
","化, 口, 足",3II,2,9,"urge,  press,  hurry;  close "
燭,촉,촛불,,"燭光 - 촉광 (candlepower)
","勹, 火, 買, 虫",3,2,17,"candle,  taper;  to  shine,  illuminate "
觸,촉,닿을,,"接觸 - 접촉 (touch)
","勹, 買, 虫, 角",3II,2,20,"touch;  butt,  ram,  gore "
寸,촌,마디,,"四寸 - 사촌 (a cousin)
",寸,8,6II,3,"inch;  small,  tiny;  rad.  no. "
村,촌,마을,,"村- - 촌스럽다 (unfashionable, unsophisticated)
","寸, 木",7,6,7,"village,  hamlet;  uncouth,  vulgar "
銃,총,총,,"銃 - 총 (a gun)
","亠, 儿, 厶, 金",4II,3II,14,"ancient  weapon,  blunderbuss "
總,총,거느릴,,"總 - 총 (all, entire, whole)
","囗, 夂, 心, 糸",4II,3II,17,"collect;  overall,  altogether "
聰,총,총명할,,"聰明 - 총명 (sagacity)
","囗, 夂, 心, 耳",3,2,17,"intelligent,  clever,  bright "
最,최,가장,,"最高 - 최고 (the best)
","一, 又, 日, 耳",5,4,12,"most,  extremely,  exceedingly "
催,최,재촉할,,"主催 - 주최하다 (to host)
","化, 山, 隹",3II,2,13,"press,  urge "
秋,추,가을,,"秋夕 - 추석 (Korean Thanksgiving)
","火, 禾",7,6,9,"autumn,  fall;  year "
追,추,쫓을,,"追加 - 추가 (an addition)
","｜, 込, 口",3II,2,9,"pursue,  chase  after;  expel "
推,추,밀,,"推薦 - 추천 (recommendation)
","扎, 隹",4,3,11,"push,  expel;  push  forward "
抽,추,뽑을,,"抽出 - 추출하다 (educe)
","｜, 扎, 日, 田",3,2,8,"draw  out,  pull  out;  sprout "
醜,추,추할,,"醜惡 - 추악 (ugliness)
","儿, 匕, 田, 酉, 鬼",3,2,16,"ugly  looking,  homely;  disgraceful "
丑,축,소,,,"一, ｜, ノ",3,2,4,"clown,  comedian;  nd  terrestrial  branch "
祝,축,빌,,"祝賀 - 축하 (congratulation)
","儿, 口, 礼",5,4,9,pray  for  happiness  or  blessings 
畜,축,가축,,"家畜 - 가축 (livestock)
","亠, 幺, 玄, 田",3II,2,10,"livestock,  domestic  animals "
蓄,축,모을,,"蓄積 - 축적 (accumulation)
","亠, 幺, 艾, 玄, 田",4II,3II,13,"store,  save,  hoard,  gather "
築,축,쌓을,,"築堤 - 축제 (embankment)
","丶, 几, 工, 木, 竹",4II,3II,16,"build,  erect;  building "
逐,축,쫓을,,"驅逐艦 - 구축함 (destroyer)
","込, 豕",3,2,10,"chase,  expel;  one  by  one "
縮,축,줄일,,"縮小 - 축소 (reduction)
","化, 宀, 白, 糸",4,3,17,"contract,  draw  in,  reduce "
春,춘,봄,,"靑春 - 청춘 (youth)
","一, ノ, 二, 日",7,6,9,spring;  wanton 
出,출,날,,"出張 - 출장 (a business trip)
","｜, 山",7,6,5,"go  out,  send  out;  stand;  produce "
充,충,채울,,"充分 - 충분히 (plenty)
","亠, 儿, 厶",5II,4II,6,"fill,  be  full,  supply "
忠,충,충성,,"忠誠 - 충성 (loyalty)
","｜, 口, 心",4II,3II,8,"loyalty,  devotion,  fidelity "
蟲,충,벌레,,"蟲齒 - 충치 (caries)
",虫,4II,3II,18,worms;  insects 
衝,충,찌를,,"衝擊 - 충격 (an impact, a shock)
","｜, 彳, 日, 行, 里",3II,2,15,"rush  against,  charge  ahead "
取,취,가질,,"取扱 - 취급 (management)
","又, 耳",4II,3II,8,"take,  receive,  obtain;  select "
吹,취,불,,"鼓吹 - 고취 (inspiration)
","口, 欠",3II,2,7,"blow;  puff;  brag,  boast "
就,취,나아갈/이룰,,"就業 - 취업 (employment, finding a job)
","丶, 亠, 口, 小, 尢, 尤",4,3,12,"just,  simply;  to  come,  go  to;  to  approach,  near "
臭,취,냄새,,"惡臭 - 악취 (stench)
","大, 自",3,2,10,"smell,  stink,  emit  foul  odor "
醉,취,취할,,"醉- - 취하다 (to be drunk)
","亠, 人, 十, 酉",3II,2,15,"intoxicated,  drunk;  addicted  to "
趣,취,뜻,,"趣向 - 취향 (taste, liking, preference)
","又, 土, 耳, 走",4,3,15,what  attracts  one' s  attention 
側,측,곁,,"側面 - 측면 (flank)
","化, 刈, 貝",3II,2,11,"side;  incline,  slant,  lean "
測,측,잴,,"測定 - 측정 (measurement)
","刈, 汁, 貝",4II,3II,12,"measure,  estimate,  conjecture "
層,층,층,,"層 - 층 (floor; grade, class)
","八, 尸, 日, 田",4,3,15,"storey,  layer,  floor,  stratum "
治,치,다스릴,,"政治 - 정치 (government)
","厶, 口, 汁",4II,3II,8,"govern,  regulate,  administer "
致,치,이를,,"一致 - 일치 (conformity)
","厶, 土, 攵, 至",5,4,10,"send,  deliver,  present;  cause "
齒,치,이,,"齒科 - 치과 (a dentist)
","人, 凵, 止, 歯",4II,3II,15,"teeth;  gears,  cogs;  age;  angX i  radical "
値,치,값,,"價値 - 가치 (value)
","一, ｜, 化, 十, 目",3II,2,10,"price,  cost,  worth "
置,치,둘,,"位置 - 위치 (situation)
","十, 目, 買",4II,3II,13,"place,  lay  out;  set  aside "
恥,치,부끄러울,,"恥辱 - 치욕 (shame)
","心, 耳",3II,2,10,"shame,  humiliation;  ashamed "
則,칙,법칙,"""곧 즉""으로도 읽는다.","規則 - 규칙 (rule)
","刈, 貝",5,4,9,"rule,  law,  regulation;  grades "
親,친,친할,,"親舊 - 친구 (a friend)
","八, 十, 木, 立, 見, 辛",6,5,16,"relatives,  parents;  intimate "
七,칠,일곱,,"七 - 칠 (seven)
","ノ, 乙, 匕",8,6II,2,seven 
漆,칠,옻,,"漆- - 칠하다 (layer, paint, coat)
","个, 汁, 木, 水",3II,2,14,"varnish,  lacquer,  paint "
針,침,바늘,,"針 - 침 (stinger)
","十, 金",4,3,10,needle;  pin;  tack;  acupuncture 
侵,침,침노할,,"侵入 - 침입 (invasion)
","化, 冖, 又, ヨ",4II,3II,9,"invade,  encroach  upon,  raid "
浸,침,담글,,"浸水 - 침수 (inundation)
","冖, 又, ヨ, 汁",3II,2,10,"soak,  immerse,  dip,  percolate "
寢,침,잘,,"寢臺 - 침대 (bed)
","冖, 又, 宀, ヨ, 爿",4,3,14,"sleep,  rest;  bed  chamber "
沈,침,가라앉을,,"沈默 - 침묵 (silence)
","尢, 汁",3II,2,7,"sink,  submerge;  addicted  to;  name "
枕,침,베개,,,"ノ, 乙, 冖, 尢, 木",3,2,8,pillow 
稱,칭,일컬을,,"稱讚 - 칭찬 (praide, admiration)
","一, ｜, 冂, 爪, 禾",4,3,14,"call;  name,  brand;  address;  say "
快,쾌,쾌할,,"不快 - 불쾌 (displeasure)
","二, 人, 大, 忙",4II,3II,7,"rapid,  quick,  speedy,  fast;  soon "
他,타,다를,,"他 - 타 (heter)
","化, 也",5,4,5,"other,  another;  he,  she,  it "
打,타,칠,,"打破 - 타파 (defeat)
","亅, 扎",5,4,5,"strike,  hit,  beat;  fight;  attack "
妥,타,온당할,,"妥協 - 타협 (compromise)
","女, 爪",3,2,7,"satisfactory,  appropriate "
墮,타,떨어질,,"墮落 - 타락 (depravity)
","土, 工, 阡, 月",3,2,14,"fall,  sink,  let  fall;  degenerate "
濁,탁,흐릴,,,"勹, 汁, 買, 虫",3,2,16,"muddy,  turbid,  dirty,  filthy "
托,탁,맡길,,,"一, ノ, 乙, 扎",3,2,6,"to  hold  up  with  palm;  to  support,  rely  on "
濯,탁,씻을,,"洗濯 - 세탁 (laundry)
","ヨ, 汁, 隹",3,2,17,"wash  out,  rinse;  cleanse "
卓,탁,높을,,"食卓 - 식탁 (dining table)
","十, 卜, 日",5,4,8,"profound,  brilliant,  lofty "
炭,탄,숯,,"石炭 - 석탄 (coal)
","厂, 山, 火",5,4,9,charcoal;  coal;  carbon 
歎,탄,탄식할,,"歎息 - 탄식 (sigh)
","一, 口, 大, 艾, 欠",4,3,15,"sigh,  admire "
彈,탄,탄알,,"爆彈 - 폭탄 (bomb)
","｜, 十, 口, 弓, 田",4,3,15,"pellet,  bullet,  shot,  shell "
誕,탄,낳을,,"誕生 - 탄생 (birth)
","ノ, 廴, 止, 言",3,2,13,"to  bear  children,  give  birth;  birth "
脫,탈,벗을,,"脫出 - 탈출 (escape)
",,4,3,11,"take  off,  peel  off,  strip "
奪,탈,빼앗을,,"掠奪 - 약탈 (robbery)
","大, 寸, 隹",3II,2,14,"take  by  force,  rob,  snatch "
探,탐,찾을,,"探究 - 탐구 (research)
","儿, 冖, 扎, 木",4,3,11,"find,  locate;  search,  grope  for "
貪,탐,탐할,,"貪慾 - 탐욕 (greed)
","个, 貝",3,2,11,"greedy,  covet;  covetous "
塔,탑,탑,,"塔 - 탑 (a tower)
","个, 口, 土, 艾",3II,2,12,"tower,  spire,  tall  building "
湯,탕,끓일,,"沐浴湯 - 목욕탕 (a bathhouse)
","一, ｜, 汁, 日, 勿",3II,2,12,"hot  water;  soup,  gravy,  broth "
太,태,클,,"太陽 - 태양 (sun)
","丶, 大",6,5,4,"very,  too,  much;  big;  extreme "
泰,태,클/편안할,,,"一, ｜, ノ, 二, 水",3II,2,10,"great,  exalted,  superior;  big "
怠,태,게으를,,"怠慢 - 태만 (negligence)
","厶, 口, 心",3,2,9,"idle,  remiss,  negligent;  neglect "
殆,태,거의,,,"厶, 口, 歹",3II,2,9,"dangerous,  perilous;  endanger "
態,태,모양,,"狀態 - 상태 (condition, state)
","匕, 厶, 心, 月",4II,3II,14,"manner,  bearing,  attitude "
宅,택,집,,"住宅 - 주택 (housing)
","一, ノ, 乙, 宀",5II,4II,6,"residence,  dwelling,  home;  grave "
澤,택,못,,"惠澤 - 혜택 (a favor, benefit)
","亠, 十, 土, 汁, 立, 買, 辛",3II,2,16,"marsh,  swamp;  grace,  brilliance;  damp,  moist;  fertile "
擇,택,가릴,,"選擇 - 선택 (a choice)
","亠, 十, 土, 扎, 立, 買, 辛",4,3,16,"select,  choose,  pick  out "
土,토,흙,,"土曜日 - 토요일 (Saturday)
",土,8,6II,3,"soil,  earth;  items  made  of  earth "
吐,토,토할,,"吐- - 토하다 (to vomit)
","口, 土",3II,2,6,"vomit,  spew  out,  cough  up "
討,토,칠,,"檢討 - 검토 (an examination, investigation, study)
","寸, 言",4,3,10,"to  discuss;  ask  for,  beg;  demand;  dun;  marry "
通,통,통할,,"普通 - 보통 (usually)
","マ, 込, 用",6,5,10,"pass  through,  common,  communicate "
統,통,거느릴,,"大統領 - 대통령 (president)
","亠, 儿, 厶, 糸",4II,3II,12,"govern,  command,  control;  unite "
痛,통,아플,,"苦痛 - 고통 (pain)
","マ, 用, 疔",4,3,12,"pain,  ache;  sorry,  sad;  bitter "
退,퇴,물러날,,"隱退 - 은퇴 (seclusion)
","込, 艮",4II,3II,9,"step  back,  retreat,  withdraw "
投,투,던질,,"投票 - 투표 (poll)
","扎, 殳",4,3,7,"throw,  cast,  fling,  pitch;  jump "
透,투,사무칠,,"透明- - 투명하다 (to be transparent, clear)
","ノ, 乃, 込, 禾",3II,2,10,"penetrate,  pass  through "
鬪,투,싸울,,"戰鬪 - 전투 (fight)
","八, 口, 寸, 豆, 鬥",4,3,20,"struggle,  fight,  compete,  contend "
